name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,code
爱仕达,家用电器,浙江,17.87,2.89,3.50,463389.69,257422.09,64032.11,124542.70,3.56,0.12,6.34,1.39,20100511,58893.48,1.68,9.40,-19.36,38.55,5.25,16981.00,002403
思创医惠,元器件,浙江,79.02,5.17,8.08,288230.41,132777.47,34352.15,79509.56,0.98,0.03,2.57,3.43,20100430,40732.98,0.50,11.01,-33.79,42.85,9.55,55068.00,300078
上峰水泥,水泥,甘肃,10.84,8.14,8.14,631565.13,282804.59,228636.80,-96400.71,-1.18,0.20,2.96,2.99,19961218,226841.20,2.79,9.52,89.33,39.42,20.01,73597.00,000672
沃施股份,专用机械,上海,70.94,0.61,0.61,159328.30,23057.71,6612.68,19029.03,3.09,0.09,6.58,4.06,20150630,13778.17,2.24,-25.47,-18.27,23.84,6.55,7656.00,300483
徐家汇,百货,上海,13.12,3.97,4.16,269810.84,172325.73,52950.05,52352.23,1.26,0.17,5.34,1.67,20110303,106935.13,2.57,1.64,11.22,28.75,12.27,33100.00,002561
南极电商,互联网,江苏,61.81,14.51,24.55,391908.19,237324.75,358.14,148083.27,0.60,0.04,1.27,7.10,20070418,111826.15,0.46,619.94,245.72,26.85,17.69,16605.00,002127
大业股份,钢加工,山东,24.61,0.52,2.08,281815.38,206676.42,61461.30,68248.06,3.28,0.18,6.74,2.69,20171113,46163.35,2.22,0.00,0.00,15.45,7.42,26613.00,603278
横河模具,塑料,浙江,137.73,0.61,2.09,71989.68,34211.03,21864.35,1255.25,0.06,0.02,1.82,4.97,20160830,14528.05,0.70,10.56,-65.87,22.74,3.13,12177.00,300539
新黄浦,区域地产,上海,54.05,6.73,6.73,1048195.81,655135.94,54341.73,101487.30,1.51,0.04,6.29,1.45,19930326,230294.22,3.42,-56.70,-6.41,25.32,6.83,32797.00,600638
华荣股份,专用机械,上海,35.99,2.02,3.31,224346.41,170700.25,27860.64,67116.92,2.03,0.06,4.35,2.11,20170524,35383.23,1.07,60.76,134.06,51.16,7.38,26915.00,603855
联创光电,元器件,江西,25.86,4.43,4.43,427296.44,233144.91,52450.16,63715.20,1.44,0.09,5.14,1.80,20010329,104896.67,2.37,31.51,-18.53,12.37,5.01,44882.00,600363
银江股份,软件服务,浙江,28.60,6.19,6.56,596282.13,429691.94,17213.09,136117.81,2.08,0.08,4.82,1.94,20091030,87927.17,1.34,36.77,59.67,26.47,11.12,56762.00,300020
久其软件,软件服务,北京,224.15,5.80,7.10,463053.19,236863.47,23292.40,89205.00,1.26,0.01,3.47,2.71,20090811,83583.92,1.18,106.44,26.85,40.22,1.78,42656.00,002279
视觉中国,互联网,江苏,124.72,2.80,7.01,397809.81,69561.43,523.21,160035.42,2.28,0.06,3.70,7.68,19970121,93311.92,1.33,38.04,36.25,62.37,25.70,29187.00,000681
正裕工业,汽车配件,浙江,245.77,0.31,1.07,100282.71,71220.43,15795.25,34444.89,3.23,0.02,6.68,2.91,20170126,22315.82,2.09,7.25,-90.87,19.60,1.05,11103.00,603089
明泰铝业,铝,河南,10.97,4.98,5.90,895101.13,528908.81,190637.31,348668.44,5.91,0.23,9.51,1.02,20110919,151553.95,2.57,30.29,78.20,9.22,4.73,19880.00,601677
三圣股份,其他建材,重庆,30.77,2.67,4.32,421565.31,204343.44,94271.93,25075.22,0.58,0.08,3.35,2.93,20150217,72543.32,1.68,65.16,32.86,25.36,6.45,52879.00,002742
鸿利智汇,元器件,广东,19.75,5.44,7.13,510536.09,225040.72,109393.26,108996.92,1.53,0.13,3.86,2.66,20110518,90787.75,1.27,26.24,16.07,21.93,10.60,22265.00,300219
健民集团,中成药,湖北,27.34,1.53,1.53,183959.30,128164.60,23307.07,30183.50,1.97,0.19,7.29,2.83,20040419,51664.42,3.37,-14.96,63.40,42.19,5.86,8571.00,600976
上海亚虹,专用机械,上海,51.79,0.25,1.00,55053.63,30995.05,17173.98,12207.20,1.22,0.10,4.06,5.11,20160812,16571.32,1.66,9.62,18.08,21.89,6.88,14004.00,603159
皇庭国际,房产服务,深圳,57.09,2.86,11.75,1413735.50,397968.81,5375.43,194043.56,1.65,0.04,4.56,2.27,19960708,226831.84,1.93,60.62,2.05,63.16,24.15,15402.00,000056
沪宁股份,机械基件,浙江,84.55,0.26,0.84,48624.51,38508.39,5085.35,28834.52,3.42,0.06,5.32,3.96,20170629,6696.31,0.80,-1.39,-12.98,30.16,11.62,9299.00,300669
荣盛石化,化纤,浙江,23.80,51.26,57.24,7180046.50,2334403.75,2037216.38,366818.72,0.64,0.11,2.60,4.08,20101102,720151.88,1.26,13.35,2.45,5.84,3.60,20124.00,002493
利民股份,农药化肥,江苏,12.94,1.42,2.80,237935.95,117669.72,74477.43,108805.47,3.89,0.21,6.20,1.75,20150127,45083.81,1.61,4.84,15.74,28.74,16.26,14677.00,002734
爱柯迪,汽车配件,浙江,20.39,1.38,8.45,463461.34,292845.28,116232.45,175011.48,2.07,0.14,4.30,2.63,20171117,91541.36,1.08,0.00,0.00,39.22,18.33,54000.00,600933
奥康国际,服饰,浙江,9.65,4.01,4.01,530647.63,373744.00,48036.53,192974.38,4.81,0.30,10.47,1.10,20120426,165797.31,4.13,-1.55,4.75,38.15,13.75,20192.00,603001
