code,name,mbrg,nprg,nav,targ,epsg,seg
300596,利安隆,13.60,17.11,17.09,34.77,-28.83,14.01
600278,东方创业,27.15,16.95,11.95,5.24,11.11,13.15
002139,拓邦股份,29.22,16.94,9.58,28.11,-12.50,9.48
002223,鱼跃医疗,15.49,16.89,6.24,6.24,-25.00,6.93
603086,先达股份,10.63,16.89,58.27,49.81,-12.20,58.27
300647,超频三,66.78,16.86,96.11,145.44,-44.44,87.06
002462,嘉事堂,25.00,16.78,9.26,28.75,25.00,11.83
002540,亚太科技,9.26,16.73,56.98,53.73,-4.41,56.98
600535,天士力,18.06,16.70,10.68,26.72,16.74,8.99
002320,海峡股份,16.42,16.68,5.28,7.31,22.22,5.66
603045,福达合金,2.05,16.68,7.37,10.99,16.75,6.95
300172,中电环保,1.80,16.58,9.10,16.88,25.00,8.51
600978,宜华生活,11.22,16.49,7.05,-6.14,9.09,7.20
002860,星帅尔,12.50,16.40,103.06,96.58,-3.03,94.16
300593,新雷能,-4.33,16.34,5.30,6.89,25.00,5.30
600419,天润乳业,23.28,16.33,19.15,18.11,17.39,13.64
002811,亚泰国际,21.51,16.32,6.15,6.85,22.22,6.15
002395,双象股份,14.52,16.27,1.85,8.25,-42.20,-0.34
002734,利民股份,4.84,16.26,8.95,13.36,16.13,5.60
600600,青岛啤酒,3.01,16.19,5.71,5.93,15.15,5.47
600926,杭州银行,15.29,16.17,35.04,13.85,-16.00,35.04
002608,江苏国信,43.94,16.14,12.04,9.89,27.27,13.69
601618,中国中冶,24.94,16.11,10.72,8.48,14.29,9.54
300007,汉威科技,5.71,16.02,6.74,26.59,33.33,8.17
600548,深高速,30.10,16.01,7.70,36.64,13.75,8.23
300258,精锻科技,21.72,16.00,14.66,16.59,15.98,14.66
603197,保隆科技,15.57,15.97,94.08,43.27,-18.23,113.74
002635,安洁科技,44.10,15.90,159.31,167.13,-40.00,160.94
300254,仟源医药,45.99,15.89,1.83,1.16,14.33,1.46
601188,龙江交通,25.75,15.85,7.82,-12.04,8.62,6.77
600039,四川路桥,18.96,15.80,33.17,13.55,4.95,36.05
002060,粤水电,21.86,15.80,8.14,10.68,-44.71,6.07
603012,创力集团,29.54,15.75,5.46,9.52,25.00,5.61
603633,徕木股份,20.39,15.75,5.27,7.43,14.29,5.27
600496,精工钢构,56.19,15.74,4.98,11.29,16.67,5.09
603060,国检集团,12.14,15.69,11.49,6.35,24.02,11.00
002593,日上集团,83.72,15.68,2.01,11.77,0.00,1.88
600138,中青旅,22.82,15.56,11.53,14.35,14.04,9.73
603669,灵康药业,168.18,15.54,11.20,24.03,18.18,11.20
002916,深南电路,14.76,15.53,7.37,10.99,-12.50,6.95
603566,普莱柯,8.77,15.52,5.82,4.43,20.00,5.82
603970,中农立华,13.30,15.51,7.37,10.99,5.88,6.95
002859,洁美科技,39.23,15.46,13.47,-10.50,-62.50,13.47
600969,郴电国际,18.18,15.44,6.22,12.74,16.78,5.39
002062,宏润建设,9.86,15.42,7.96,0.50,10.76,8.80
601689,拓普集团,28.36,15.42,87.48,95.16,0.00,88.14
603937,丽岛新材,17.45,15.40,7.37,10.99,-15.38,6.95
300219,鸿利智汇,26.24,15.37,44.52,43.69,9.00,44.47
603611,诺力股份,21.70,15.21,4.79,10.49,10.53,4.45
600377,宁沪高速,22.95,15.17,17.02,21.79,15.77,11.91
002020,京新药业,34.53,15.13,60.06,47.69,3.82,61.38
