code,name,industry,report,profit,operation,growth,debtpaying,cashflow
603099,长白山,旅游景点,1.75,1.29,3.67,3.17,3.50,1.00
601611,XD中国核,建筑施工,2.38,3.71,3.50,3.83,3.50,1.00
603011,合锻智能,机床制造,2.38,3.57,3.50,2.83,3.50,1.00
000981,银亿股份,区域地产,3.62,4.29,3.67,5.83,3.50,4.40
603899,晨光文具,文教休闲,3.50,4.86,3.50,4.17,3.50,1.00
601229,DR上海银,银行,3.00,4.00,1.00,3.00,3.50,1.00
000623,吉林敖东,中成药,2.38,4.71,3.50,3.17,3.50,4.00
600761,安徽合力,工程机械,3.25,4.43,3.50,3.50,3.50,4.00
002877,智能自控,电器仪表,2.25,3.57,3.50,2.67,3.50,1.00
600118,中国卫星,航空,2.38,3.43,3.50,2.50,3.50,1.00
300204,舒泰神,生物制药,2.12,4.14,3.50,2.17,3.50,5.40
300017,网宿科技,电信运营,2.75,4.43,3.67,3.33,3.50,4.20
601139,深圳燃气,供气供热,4.50,4.57,4.00,3.83,3.50,4.40
603586,金麒麟,汽车配件,1.38,2.57,3.50,2.17,3.50,4.20
600529,山东药玻,医疗保健,3.12,4.29,3.50,3.50,3.50,4.20
002365,永安药业,化学制药,3.38,4.43,3.50,4.67,3.50,5.40
600392,盛和资源,小金属,2.88,3.57,3.50,4.00,3.50,4.40
002406,远东传动,汽车配件,2.88,3.71,3.50,3.50,3.50,4.40
600233,圆通速递,仓储物流,3.25,4.43,3.83,4.33,3.50,1.00
002107,沃华医药,中成药,2.00,3.86,3.50,3.00,3.50,4.60
600740,山西焦化,焦炭加工,3.88,4.57,3.67,5.83,3.50,4.00
603717,天域生态,环境保护,2.38,2.14,3.67,2.50,3.50,1.00
603527,众源新材,铜,2.50,3.86,3.67,3.00,3.50,1.00
603165,荣晟环保,造纸,2.50,4.43,3.67,3.33,3.50,4.80
000615,京汉股份,全国地产,2.00,1.71,3.83,4.00,3.50,1.00
600851,海欣股份,纺织,2.62,3.57,3.67,2.83,3.50,1.00
603080,新疆火炬,供气供热,2.12,3.71,3.50,2.33,3.50,1.00
300328,宜安科技,铝,1.38,2.29,3.50,3.50,3.50,1.00
002306,*ST云网,酒店餐饮,2.00,1.86,3.67,2.33,3.50,1.00
000042,中洲控股,全国地产,4.00,5.29,4.00,5.17,3.50,1.00
600283,钱江水利,水务,3.38,3.86,3.50,3.00,3.50,4.80
600189,吉林森工,林业,1.75,3.14,3.67,4.67,3.50,1.00
